三時,TAM THỜI,ba giờ,
広島,QUẢNG ĐẢO,hiroshima,
広告,QUẢNG CÁO,quảng cáo,
広場,"QUẢNG TRÀNG,TRƯỜNG",plaza,
広がる,QUẢNG,lan tràn,
広める,QUẢNG,lan tràn,
広さ,QUẢNG,bề ngang,
背広,BỐI QUẢNG,bộ đồ làm việc,
長い,TRƯỜNG,dài,
社長,XÃ TRƯỜNG,chủ tịch,
部長,BỘ TRƯỜNG,người quản lý,
身長, TRƯỜNG,chiều cao,
長所,TRƯỜNG SỞ,lợi ích,
長男,TRƯỜNG NAM,con trai cả,
長方形,TRƯỜNG PHƯƠNG HÌNH,rectangle,
長さ,TRƯỜNG,chiều dài,
泳ぐ,VỊNH,bơi,
水泳,THỦY VỊNH,bơi,
平泳ぎ,BÌNH VỊNH,ếch,
背泳ぎ,BỐI VỊNH,cú đánh trái,
競泳,CẠNH VỊNH,bơi,
好きな,HẢO,ngây thơ,
大好きな,ĐẠI HẢO,yêu thích,
好み,HẢO,sự ưa thích,
好む,HẢO,thích,
お好み焼き,HẢO THIÊU,bánh kếp,
好意,HẢO Ý,ủng hộ,
好感,HẢO CẢM,cảm giác tốt,
友達,HỮU ĐẠT,người bạn,
友人,HỮU NHÂN,người bạn,
親友,THÂN HỮU,bạn thân,
友情,HỮU TÌNH,tình bạn,
友好,HỮU HẢO,tình bạn,
入る,NHẬP,vào,
入れる,NHẬP,đặt vào,
入り口/入口,NHẬP KHẨU NHẬP KHẨU,lối vào/lối vào,
入学する,NHẬP HỌC,đăng ký học,
入院する,NHẬP VIỆN,nhập viện,
気に入る,KHÍ NHẬP,như,
輸入,THÂU NHẬP,nhập khẩu,
収入,"THU,THÂU NHẬP",lợi tức,
つくば市,THỊ,thành phố tsukuba,
市長,THỊ TRƯỜNG,thị trưởng,
市民,THỊ DÂN,công dân,
市役所,THỊ DỊCH SỞ,toà thị chính,
年,NIÊN,năm,
市場,"THỊ TRÀNG,TRƯỜNG",thị trường,
市場,"THỊ TRÀNG,TRƯỜNG",thị trường,
朝市,TRIỀU THỊ,chợ sáng,
村,THÔN,làng,
田村さん,ĐIỀN THÔN,tôm phích bột,
村長,THÔN TRƯỜNG,trưởng làng,
村民,THÔN DÂN,dân làng,
農村,NÔNG THÔN,nông thôn,
市町村,THỊ ĐINH THÔN,thành phố,
漁村,NGƯ THÔN,làng chài,
電気,ĐIỆN KHÍ,điện,
電車,ĐIỆN XA,tàu điện,
電話,ĐIỆN THOẠI,điện thoại,
電力,ĐIỆN LỰC,quyền lực,
電子辞書,ĐIỆN TỬ TỪ THƯ,từ điển điện tử,
電池,ĐIỆN TRÌ,ắc quy,
停電,ĐÌNH ĐIỆN,cúp điện,
電源,ĐIỆN NGUYÊN,quyền lực,
駅,DỊCH,trạm,
東京駅,ĐÔNG KINH DỊCH,trạm tokyo,
駅員,DỊCH VIÊN,trạm tiếp viên,
駅前,DỊCH TIỀN,trạm,
会社,HỘI XÃ,công ty,
社会,XÃ HỘI,xã hội,
社長,XÃ TRƯỜNG,chủ tịch,
神社,THẦN XÃ,lăng,
社会学,XÃ HỘI HỌC,xã hội học,
社会主義,XÃ HỘI CHỦ NGHĨA,chủ nghĩa xã hội,
社,XÃ,lăng,
商社,THƯƠNG XÃ,công ty thương mại,
店,ĐIẾM,cửa hàng,
喫茶店,KHIẾT TRÀ ĐIẾM,quán cà phê,
店員,ĐIẾM VIÊN,clerk,
書店,THƯ ĐIẾM,hiệu sách,
売店,MẠI ĐIẾM,cửa hàng,
店長,ĐIẾM TRƯỜNG,quản lý cửa hàng,
本店,BỔN ĐIẾM,trụ sở chính,
支店,CHI ĐIẾM,chi nhánh,
病院,BỆNH VIỆN,bệnh viện,
入院する,NHẬP VIỆN,nhập viện,
大学院,ĐẠI HỌC VIỆN,tốt nghiệp,
大学院生,"ĐẠI HỌC VIỆN SANH,SINH",sinh viên tốt nghiệp,
退院する,THỐI VIỆN,xuất viện,
医院,Y VIỆN,dưỡng đường,
病院,BỆNH VIỆN,bệnh viện,
休む,HƯU,còn lại,
休み,HƯU,ngày nghỉ,
夏休み,HẠ HƯU,kỳ nghỉ hè,
昼休み,TRÚ HƯU,ăn trưa,
休日,HƯU NHẬT,ngày nghỉ,
休講,HƯU GIẢNG,bài giảng hủy,
定休日,ĐỊNH HƯU NHẬT,kỳ nghỉ thường xuyên,
起きる,KHỞI,đứng dậy,
起こす,KHỞI,nâng cao,
起こる,KHỞI,xảy ra,
起立する,KHỞI LẬP,đứng lên,
起床,KHỞI SÀNG,thức dậy,
起源,KHỞI NGUYÊN,gốc,
起業する,KHỞI NGHIỆP,tìm thấy một công ty,
買う,MÃI,mua,
買い物,MÃI VẬT,mua sắm,
買い占める,"MÃI CHIÊM,CHIẾM",mua lên,
売買,MẠI MÃI,mua và bán,
買収する,"MÃI THU,THÂU",hư hỏng,
買い手,MÃI THỦ,người mua,
書く,THƯ,viết,
図書館,ĐỒ THƯ QUÁN,thư viện,
辞書,TỪ THƯ,tự điển,
教科書,GIÁO KHOA THƯ,sách giáo khoa,
読書,ĐỌC THƯ,cách đọc,
食堂,THỰC ĐƯỜNG,quán ăn tự phục vụ,
肩書き,KIÊN THƯ,tiêu đề,
弓,CUNG,cây cung,
弓矢,CUNG THỈ,cung và mũi tên,
弓道,CUNG ĐẠO,bắn cung nhật bản,
強い,CƯỜNG,mạnh,
勉強する,MIỄN CƯỜNG,nghiên cứu,
強いる,CƯỜNG,lực lượng,
強気,CƯỜNG KHÍ,bò đực,
強制する,CƯỜNG CHẾ,lực ,
強調する,CƯỜNG ĐIỀU,nhấn mạnh,
強盗する,CƯỜNG ĐẠO,để cướp,
強化する,CƯỜNG HÓA,tăng cường,
日本語,NHẬT BỔN NGỮ,nhật bản,
中国語,TRUNG QUỐC NGỮ,trung quốc,
英語,ANH NGỮ,tiếng anh,
敬語,KÍNH NGỮ,danh dự,
外国語,NGOẠI QUỐC NGỮ,ngoại ngữ,
単語,ĐƠN NGỮ,lời nói,
語る,NGỮ,nói chuyện,
主語,CHỦ NGỮ,vấn đề,
春,XUÂN,mùa xuân,
春休み,XUÂN HƯU,nghỉ xuân,
春学期,XUÂN HỌC KÌ,xuân,
春分,XUÂN ,xuân phân,
青春,THANH XUÂN,tuổi trẻ,
春夏秋冬,XUÂN HẠ THU ĐÔNG,xuân hạ thu đông,
秋,THU,mùa thu,
秋学期,THU HỌC KÌ,hạn thu,
秋風,THU PHONG,gió mùa thu,
秋分,THU ,thu phân,
晩秋,VÃN THU,cuối mùa thu,
春夏秋冬,XUÂN HẠ THU ĐÔNG,xuân hạ thu đông,
朝市,TRIỀU THỊ,chợ sáng,
毎朝,MỖI TRIỀU,mỗi buổi sáng,
今朝,KIM TRIỀU,sáng nay,
朝ご飯,TRIỀU PHẠN,bữa ăn sáng,
朝食,TRIỀU THỰC,bữa ăn sáng,
朝寝坊する,TRIỀU TẨM ,ngủ muộn,
朝刊,TRIỀU SAN,báo buổi sáng,
北朝鮮,BẮC TRIỀU TIÊN,bắc triều tiên,
夕方,TỊCH PHƯƠNG,chiều,
夕日,TỊCH NHẬT,lúc mặt trời lặn,
夕食,TỊCH THỰC,bữa tối,
七夕,THẤT TỊCH,tanabata,
夕刊,TỊCH SAN,báo chiều,
夕立,TỊCH LẬP,vòi hoa sen,
一朝一夕,NHẤT TRIỀU NHẤT TỊCH,trong một thời gian ngắn,
晩,VÃN,chiều,
今晩,KIM VÃN,tối nay,
毎晩,MỖI VÃN,mỗi đêm,
晩ご飯,VÃN PHẠN,bữa tối,
晩婚,VÃN HÔN,kết hôn muộn,
晩年,VÃN NIÊN,năm ngoái,
心,TÂM,tim,
安心する,AN TÂM,hãy yên tâm,
心配する,TÂM PHỐI,lo,
中心,TRUNG TÂM,trung tâm,
熱心な,NHIỆT TÂM,nhiệt tâm,
感心する,CẢM TÂM,chiêm ngưỡng,
心理学,TÂM LÍ HỌC,tâm lý học,
足,TÚC,chân,
足りる,TÚC,đủ,
足す,TÚC,thêm vào,
一足,NHẤT TÚC,cặp,
水不足,THỦY BẤT TÚC,thiếu nước,
遠足,VIỄN TÚC,du ngoạn,
満足,MÃN TÚC,sự hài lòng,
足音,TÚC ÂM,tiếng bước chân,
首,THỦ,cổ,
首になる,THỦ,nó là ở cổ,
手首,THỦ THỦ,cổ tay,
首相,THỦ TƯƠNG,thủ tướng,
首都,THỦ ĐÔ,vốn,
主意,CHỦ Ý,động cơ,
部首,BỘ THỦ,cấp tiến,
道,ĐẠO,đường,
片道,PHIẾN ĐẠO,một chiều,
書道,THƯ ĐẠO,thư pháp,
柔道,NHU ĐẠO,võ juđô,
北海道,BẮC HẢI ĐẠO,hokkaido,
道具,ĐẠO CỤ,dụng cụ,
歩道,BỘ ĐẠO,đường đi bộ,
近道,CẬN ĐẠO,đường tắt,
川,XUYÊN,sông,
小川さん,TIỂU XUYÊN,ogawa,
ナイル川,XUYÊN,sông nile,
天の川,THIÊN XUYÊN,dãi ngân hà,
川岸,XUYÊN NGẠN,bờ sông,
川遊び,XUYÊN DU,dòng sông,
河川,HÀ XUYÊN,rivers,
林,LÂM,rừng,
小林さん,TIỂU LÂM,kobayashi,
森林,SÂM LÂM,rừng,
山林,"SAN,SƠN LÂM",rừng núi,
林業,LÂM NGHIỆP,lâm nghiệp,
松林,TÙNG LÂM,rừng thông,
林道,LÂM ĐẠO,đường rừng,
密林,MẬT LÂM,rừng rậm,
空,KHÔNG,bầu trời,
空気,KHÔNG KHÍ,không khí,
空港,KHÔNG CẢNG,sân bay,
航空便,HÀNG KHÔNG TIỆN,chuyến bay,
空手,KHÔNG THỦ,karate,
空く,KHÔNG,trở nên trống rỗng,
空っぽ,KHÔNG,trống,
大空,ĐẠI KHÔNG,bầu trời,
化学,HÓA HỌC,hóa học,
文化,VĂN HÓA,văn hóa,
お化け,HÓA,quái vật,
化粧,HÓA ,trang điểm,
民主化,DÂN CHỦ HÓA,dân chủ hóa,
変化,BIẾN HÓA,thay đổi,
進化,TIẾN HÓA,sự phát triển,
天気,THIÊN KHÍ,thời tiết,
天気予報,THIÊN KHÍ DỮ BÁO,dự báo thời tiết,
天国,THIÊN QUỐC,trời,
天皇,THIÊN HOÀNG,hoàng đế,
天使,THIÊN SỬ,thiên thần,
天才,THIÊN TÀI,thiên tài,
天の川,THIÊN XUYÊN,dãi ngân hà,
天文学,THIÊN VĂN HỌC,thiên văn học,
宿題,TÚC ĐỀ,việc nhà,
下宿,HẠ TÚC,nhà trọ,
宿泊,TÚC BẠC,chổ trọ,
宿,TÚC,quán trọ,
民宿,DÂN TÚC,nhà khách,
雨宿り,VŨ TÚC,che chở,
青/青い,THANH THANH,màu xanh/màu xanh,
青空,THANH KHÔNG,trời xanh,
青信号,THANH TÍN HÀO,đèn xanh,
青森,THANH SÂM,aomori,
青年,THANH NIÊN,tuổi trẻ,
真っ青,CHÂN THANH,xanh đậm,
青春,THANH XUÂN,tuổi trẻ,
色,SẮC,màu,
色々な,SẮC,khác nhau,
水色,THỦY SẮC,ánh sáng màu xanh,
灰色,HÔI SẮC,màu xám,
色鉛筆,SẮC DUYÊN BÚT,màu bút chì,
景色,CẢNH SẮC,phong cảnh,
特色,ĐẶC SẮC,đặc tính,
脱色,THOÁT SẮC,làm phai màu,
魚,NGƯ,cá,
魚屋,NGƯ ỐC,người bán cá,
小魚,TIỂU NGƯ,nhỏ cá,
魚市場,"NGƯ THỊ TRÀNG,TRƯỜNG",chợ cá,
金魚,KIM NGƯ,cá vàng,
人魚,NHÂN NGƯ,mỹ nhân ngư,
熱帯魚,NHIỆT ĐỚI NGƯ,cá nhiệt đới,
魚介類,NGƯ GIỚI LOẠI,hải sản,
犬,KHUYỂN,chó,
子犬,TỬ KHUYỂN,chó con,
番犬,PHIÊN KHUYỂN,chó giữ nhà,
盲導犬,MANH ĐẠO KHUYỂN,chó dẫn đường,
犬猿の仲,KHUYỂN VIÊN TRỌNG,mèo và chó,
猟犬,LIỆP KHUYỂN,chó săn,
狂犬病,CUỒNG KHUYỂN BỆNH,bệnh dại,
太い,THÁI,dầy,
太る,THÁI,tăng cân,
太陽,THÁI DƯƠNG,mặt trời,
太鼓,THÁI CỔ,drum,
皇太子,HOÀNG THÁI TỬ,hoàng thái tử,
太平洋,THÁI BÌNH DƯƠNG,thái bình dương,
丸太,HOÀN THÁI,đăng nhập,
反対する,PHẢN ĐỐI,đối lại,
違反,VI PHẢN,sự vi phạm,
反省,PHẢN TỈNH,sự phản chiếu,
反抗,PHẢN KHÁNG,cuộc nổi loạn,
反る,PHẢN,làm cong,
反応,PHẢN ỨNG,sự phản ứng,
反物,PHẢN VẬT,vải,
謀反,MƯU PHẢN,cuộc nổi loạn,
豚,ĐỒN,heo,
豚肉,ĐỒN NHỤC,thịt heo,
子豚,TỬ ĐỒN,heo con,
豚カツ,ĐỒN,thịt lợn băm,
鳥,ĐIỂU,chim,
小鳥,TIỂU ĐIỂU,con chim nhỏ,
鳥肉,ĐIỂU NHỤC,thịt gia cầm,
白鳥,BẠCH ĐIỂU,chim thiên nga,
焼き鳥,THIÊU ĐIỂU,yakitori,
鳥居,ĐIỂU CƯ,torii,
一石二鳥,NHẤT THẠCH NHỊ ĐIỂU,giết hai con chim với một hòn đá,
お茶,TRÀ,trà,
茶色,TRÀ SẮC,màu nâu,
紅茶,HỒNG TRÀ,trà đen,
喫茶店,KHIẾT TRÀ ĐIẾM,quán cà phê,
茶碗,TRÀ ,chén,
茶道,TRÀ ĐẠO,lễ trà,
無茶苦茶, TRÀ KHỔ TRÀ,vô lý,
茶店,TRÀ ĐIẾM,xưởng làm trà,
野菜,DÃ THÁI,rau,
長野,TRƯỜNG DÃ,nagano,
小野さん,TIỂU DÃ,ono,
野球,DÃ CẦU,bóng chày,
分野, DÃ,cánh đồng,
野党,DÃ ĐẢNG,sự đối lập,
野原,DÃ NGUYÊN,cánh đồng,
切る,THIẾT,cắt,
切手,THIẾT THỦ,tem,
大切な,ĐẠI THIẾT,quan trọng,
親切な,THÂN THIẾT,loại,
切符,THIẾT PHÙ,vé,
締め切り,ĐẾ THIẾT,hạn chót,
一切れ,NHẤT THIẾT,cái,
一切,NHẤT THIẾT,tuyệt đối,
未来,VỊ LAI,tương lai,
未満,VỊ MÃN,ít hơn,
未婚,VỊ HÔN,chưa kết hôn,
未定,VỊ ĐỊNH,chưa quyết định,
未成年,VỊ THÀNH NIÊN,nhỏ,
未熟,VỊ THỤC,còn non nớt,
未明,VỊ MINH,nửa đêm về sáng,
味,VỊ,mùi vị,
意味,Ý VỊ,ý nghĩa,
趣味,THÚ VỊ,sở thích,
興味,"HƯNG,HỨNG VỊ",lãi,
味噌,VỊ ,miso,
調味料,ĐIỀU VỊ LIỆU,đồ gia vị,
味わう,VỊ,mùi vị,
地味,ĐỊA VỊ,đồng bằng,
音楽,"ÂM NHẠC,LẠC",âm nhạc,
楽しい,"NHẠC,LẠC",vui vẻ,
楽しみ,"NHẠC,LẠC",vui,
楽しむ,"NHẠC,LẠC",thưởng thức,
楽な,"NHẠC,LẠC",không mệt nhọc,
学期,HỌC KÌ,học kỳ,
娯楽,"NGU NHẠC,LẠC",giải trí,
自分,TỰ ,bản thân,
自転車,TỰ CHUYỂN XA,xe đạp,
自動車,TỰ ĐỘNG XA,xe hơi,
洋服,DƯƠNG PHỤC,quần áo,
自由,TỰ DO,sự tự do,
自ら,TỰ,cá nhân,
自然,TỰ NHIÊN,bản chất,
自習,TỰ TẬP,tự học,
自信,TỰ TÍN,lòng tin,
乗る,THỪA,đi chơi,
乗り物,THỪA VẬT,xe cộ,
乗り換える,THỪA HOÁN,công tắc,
乗車,THỪA XA,đi chơi,
乗客,THỪA KHÁCH,hành khách,
乗せる,THỪA,nơi,
乗馬,THỪA MÃ,cưỡi ngựa,
乗車券,THỪA XA KHOÁN,vé,
写真,TẢ CHÂN,ảnh,
真中,CHÂN TRUNG,ở giữa,
真っ黒,CHÂN HẮC,màu đen,
真っ白,CHÂN BẠCH,màu trắng tinh khiết,
真夜中,CHÂN DẠ TRUNG,nữa đêm,
真剣,CHÂN KIẾM,mức,
真実,CHÂN THỰC,sự thật,
映画,ÁNH HỌA,phim,
映画館,ÁNH HỌA QUÁN,rạp chiếu phim,
映る,ÁNH,phản ánh,
写す,TẢ,bản sao,
反映する,PHẢN ÁNH,suy nghĩ,
放映する,PHÓNG ÁNH,ti vi,
生える,"SANH,SINH",lớn lên,
上映する,THƯỢNG ÁNH,chiếu,
洋服,DƯƠNG PHỤC,quần áo,
西洋,TÂY DƯƠNG,phía tây,
東洋,ĐÔNG DƯƠNG,phương đông,
太平洋,THÁI BÌNH DƯƠNG,thái bình dương,
大西洋,ĐẠI TÂY DƯƠNG,đại tây dương,
洋式,DƯƠNG THỨC,phong cách phương tây,
洋食,DƯƠNG THỰC,tây,
洋書,DƯƠNG THƯ,sách nước ngoài,
服,PHỤC,quần áo,
和服,HÒA PHỤC,quần áo nhật bản,
服装,PHỤC TRANG,quần áo,
克服する,KHẮC PHỤC,vượt qua,
制服,CHẾ PHỤC,đồng dạng,
喪服,TANG PHỤC,tang chế,
征服,CHINH PHỤC,sự chinh phục,
着る,TRỨ,dùng,
上着,THƯỢNG TRỨ,áo khoác,
下着,HẠ TRỨ,đồ lót,
着く,TRỨ,đến,
着物,TRỨ VẬT,kimono,
到着,ĐÁO TRỨ,đến nơi,
落ち着く,LẠC TRỨ,ổn định,
水着,THỦY TRỨ,đồ bơi,
家族,GIA TỘC,gia đình,
親族,THÂN TỘC,thân nhân,
貴族,QUÝ TỘC,quí tộc,
民族,DÂN TỘC,cuộc đua,
水族館,THỦY TỘC QUÁN,bể nuôi cá,
親,THÂN,cha mẹ,
親切な,THÂN THIẾT,loại,
両親,LẠNG THÂN,phụ huynh,
親友,THÂN HỮU,bạn thân,
父親,PHỤ THÂN,cha,
母親,MẪU THÂN,mẹ,
親子,THÂN TỬ,cha mẹ và con,
親しい,THÂN,gần,
試験,THÍ NGHIỆM,thử,
試合,THÍ HỢP,trận đấu,
試す,THÍ,thử,
試みる,THÍ,thử,
入学試験,NHẬP HỌC THÍ NGHIỆM,kỳ thi tuyển sinh,
試食,THÍ THỰC,nếm,
私,TƯ,tôi,
私立大学,TƯ LẬP ĐẠI HỌC,đại học tư thục,
私鉄,TƯ THIẾT,đường sắt tư nhân,
私用,TƯ DỤNG,doanh nghiệp tư nhân,
私有,TƯ HỮU,sở hữu tư nhân,
私生活,"TƯ SANH,SINH HOẠT",cuộc sống riêng tư,
私書箱,TƯ THƯ TƯƠNG,hộp bưu điện,
妻,THÊ,vợ,
夫妻,PHU THÊ,các cặp vợ chồng,
妻子,THÊ TỬ,vợ và con,
一夫多妻,NHẤT PHU ĐA THÊ,tình trạng nhiều vợ hoặc chồng,
主人,CHỦ NHÂN,chồng,
主婦,CHỦ PHỤ,bà nội trợ,
主語,CHỦ NGỮ,vấn đề,
主義,CHỦ NGHĨA,nguyên tắc,
主題,CHỦ ĐỀ,vấn đề,
主食,CHỦ THỰC,lương thực,
主に,CHỦ,phần lớn,
持ち主,TRÌ CHỦ,chủ nhân,
紙,CHỈ,giấy,
手紙,THỦ CHỈ,thư,
表紙,BIỂU CHỈ,liên kết,
紙幣,CHỈ TỆ,hóa đơn,
和紙,HÒA CHỈ,giấy nhật bản,
紙くず,CHỈ,giỏ rác,
折り紙,CHIẾT CHỈ,origami,
紙コップ,CHỈ,tách giấy,
教える,GIÁO,dạy,
教室,GIÁO THẤT,lớp học,
教会,GIÁO HỘI,nhà thờ,
教育,GIÁO DỤC,sự giáo dục,
教授,GIÁO THỤ,giáo sư,
教師,GIÁO SƯ,giáo viên,
教科書,GIÁO KHOA THƯ,sách giáo khoa,
宗教,TÔN GIÁO,tôn giáo,
教わる,GIÁO,nó được dạy,
博士,BÁC SĨ,tiến sĩ,
教室,GIÁO THẤT,lớp học,
研修室,NGHIÊN TU THẤT,phòng đào tạo,
会議室,HỘI NGHỊ THẤT,phòng họp,
待合室,ĐÃI HỢP THẤT,phòng chờ,
温室,ÔN THẤT,nhà kính,
地下室,ĐỊA HẠ THẤT,tầng hầm,
和室,HÒA THẤT,phòng kiểu nhật,
浴室,DỤC THẤT,phòng tắm,
本屋,BỔN ỐC,hiệu sách,
屋上,ỐC THƯỢNG,mái nhà,
八百屋,BÁT BÁCH ỐC,người bán rau,
部屋,BỘ ỐC,phòng,
床屋,SÀNG ỐC,thợ hớt tóc,
屋根,ỐC CĂN,mái nhà,
名古屋,DANH CỔ ỐC,nagoya,
酒屋,TỬU ỐC,quán rượu,
習う,TẬP,học hỏi,
練習,LUYỆN TẬP,tập luyện,
習慣,TẬP QUÁN,thói quen,
復習,PHỤC TẬP,xem lại,
予習,DỮ TẬP,sự chuẩn bị,
学習,HỌC TẬP,nghiên cứu,
自習,TỰ TẬP,tự học,
習字,TẬP TỰ,viết văn,
文学,VĂN HỌC,văn chương,
作文,TÁC VĂN,viết,
文化,VĂN HÓA,văn hóa,
文字,VĂN TỰ,nhân vật,
文法,VĂN PHÁP,văn phạm,
英文,ANH VĂN,câu tiếng anh,
文句,VĂN CÚ,lời phàn nàn,
文,VĂN,câu văn,
質問,CHẤT VẤN,câu hỏi,
質問,CHẤT VẤN,câu hỏi,
性質,TÍNH CHẤT,bản chất,
物質,VẬT CHẤT,vật chất,
素質,TỐ CHẤT,triệu chứng phát bịnh,
神経質,THẦN KINH CHẤT,căng thẳng,
質屋,CHẤT ỐC,tiệm cầm đồ,
説明,THUYẾT MINH,miêu tả,
小説,TIỂU THUYẾT,tiểu thuyết,
解説,GIẢI THUYẾT,bình luận,
解説,GIẢI THUYẾT,bình luận,
説得する,THUYẾT ĐẮC,khuyên,
説教する,THUYẾT GIÁO,thuyết giáo,
仮説,GIẢ THUYẾT,giả thuyết,
得,ĐẮC,lợi,
遊説,DU THUYẾT,vận động tuyển cử,
遠い,VIỄN,xa,
遠く,VIỄN,xa,
遠慮する,VIỄN LỰ,do dự,
遠足,VIỄN TÚC,du ngoạn,
望遠鏡,VỌNG VIỄN KÍNH,kính thiên văn,
永遠の,VĨNH VIỄN,đời đời,
遠方,VIỄN PHƯƠNG,xa,
学者,HỌC GIẢ,học giả,
作者,TÁC GIẢ,tác giả,
医者,Y GIẢ,bác sĩ,
研究者,NGHIÊN CỨU GIẢ,nhà nghiên cứu,
歯医者,XỈ Y GIẢ,nha sĩ,
記者,KÍ GIẢ,phóng viên,
読者,ĐỌC GIẢ,đọc,
若者,NHƯỢC GIẢ,giới trẻ,
重い,TRỌNG,nặng,
重ねる,TRỌNG,nhắc lại,
体重,THỂ TRỌNG,trọng lượng,
重役,TRỌNG DỊCH,chấp hành,
重要な,TRỌNG YẾU,quan trọng,
貴重品,QUÝ TRỌNG PHẨM,vật có giá trị,
二重まぶた,NHỊ TRỌNG,mắt một mí lần,
軽い,KHINH,ánh sáng,
手軽な,THỦ KHINH,dể chịu,
気軽に,KHÍ KHINH,đừng ngại,
軽自動車,KHINH TỰ ĐỘNG XA,ánh sáng xe,
軽やかに,KHINH,nhẹ nhàng,
修士,TU SĨ,chủ,
軽率な,KHINH SUẤT,không suy nghĩ,
軽蔑,KHINH ,sự khinh thường,
悪い,ÁC,xấu,
悪口,ÁC KHẨU,lạm dụng,
意地悪な,Ý ĐỊA ÁC,nghĩa là,
最悪,TỐI ÁC,tệ nhất,
悪者,ÁC GIẢ,những kẻ xấu,
悪魔,ÁC MA,ma,
悪,ÁC,xấu,
悪寒,ÁC HÀN,lạnh buốt,
太い,THÁI,dầy,
太る,THÁI,tăng cân,
太陽,THÁI DƯƠNG,mặt trời,
太鼓,THÁI CỔ,cái trống,
皇太子,HOÀNG THÁI TỬ,hoàng thái tử,
太平洋,THÁI BÌNH DƯƠNG,thái bình dương,
丸太,HOÀN THÁI,đăng nhập,
短い,ĐOẢN,ngắn,
短所,ĐOẢN SỞ,thiếu sót,
短期,ĐOẢN KÌ,ngắn,
短期大学,ĐOẢN KÌ ĐẠI HỌC,junior đại học,
短編,ĐOẢN BIÊN,truyện ngắn,
短気な,ĐOẢN KHÍ,tánh nóng nảy,
短歌,ĐOẢN CA,tanka,
風,PHONG,gió,
台風,THAI PHONG,bão,
お風呂,PHONG LỮ,các phòng tắm,
風船,PHONG THUYỀN,khí cầu,
風景,PHONG CẢNH,cảnh,
洋風,DƯƠNG PHONG,phong cách phương tây,
和風,HÒA PHONG,phong cách nhật bản,
運ぶ,VẬN,mang,
運転,VẬN CHUYỂN,lái xe,
運転手,VẬN CHUYỂN THỦ,người lái xe,
運動,VẬN ĐỘNG,vận động,
運がいい,VẬN,được may mắn,
不運,BẤT VẬN,xui xẻo,
運命,VẬN MỆNH,số phận,
運賃,VẬN NHẪM,giá,
動く,ĐỘNG,chuyển động,
運動,VẬN ĐỘNG,vận động,
自動車,TỰ ĐỘNG XA,xe hơi,
動物,ĐỘNG VẬT,động vật,
活動,HOẠT ĐỘNG,hoạt động,
感動する,CẢM ĐỘNG,hãy ấn tượng,
動詞,ĐỘNG TỪ,động từ,
自動ドア,TỰ ĐỘNG,tự động cửa,
使う,SỬ,dùng,
大使館,ĐẠI SỬ QUÁN,tòa đại sứ,
大使,ĐẠI SỬ,đại sứ,
使用中,SỬ DỤNG TRUNG,trong khi sử dụng,
使命,SỬ MỆNH,nhiệm vụ,
天使,THIÊN SỬ,thiên thần,
お使い,SỬ,công chuyện vặt,
長官,TRƯỜNG QUAN,thư ký,
外交官,NGOẠI GIAO QUAN,nhà ngoại giao,
警官,CẢNH QUAN,cảnh sát viên,
裁判官,TÀI PHÁN QUAN,thẩm phán,
官庁,QUAN SẢNH,quyền,
官僚,QUAN LIÊU,quan liêu,
器官,KHÍ QUAN,cơ quan,
送,TỐNG,gửi,
放送,PHÓNG TỐNG,quảng bá,
郵送する,BƯU TỐNG,thư,
送料する,TỐNG LIỆU,để bưu chính,
送別会,TỐNG BIỆT HỘI,bữa tiệc chia tay,
送信する,TỐNG TÍN,gởi,
見送る,KIẾN TỐNG,xiên,
回送電車,HỒI TỐNG ĐIỆN XA,đào tạo người đi coi hát,
開く,KHAI,mở,
開ける,KHAI,mở,
開く,KHAI,mở,
開始する,KHAI THỦY,bắt đầu,
開店,KHAI ĐIẾM,mở ra,
公開,CÔNG KHAI,xuất bản,
開会式,KHAI HỘI THỨC,lễ khai mạc,
押す,ÁP,đẩy,
押入れ,ÁP NHẬP,phòng riêng,
押さえる,ÁP,giữ,
押し出す,ÁP XUẤT,đuổi,
押収する,"ÁP THU,THÂU",chiếm,
思う,TƯ,tôi nghĩ,
思い出す,TƯ XUẤT,nhớ lại,
思い出す,TƯ XUẤT,nhớ lại,
思いがけない,TƯ,bất ngờ,
思い切り,TƯ THIẾT,sự từ chức,
不思議な,BẤT TƯ NGHỊ,lạ lùng,
思想,TƯ TƯỞNG,tư tưởng,
空港,KHÔNG CẢNG,sân bay,
港,CẢNG,hải cảng,
神戸港,THẦN HỘ CẢNG,cảng kobe,
港町,CẢNG ĐINH,thành phố cảng,
考える,KHẢO,nghĩ,
考える,KHẢO,nghĩ,
考え方,KHẢO PHƯƠNG,cách suy nghĩ,
参考,THAM KHẢO,tài liệu tham khảo,
考慮する,KHẢO LỰ,xem xét,
考古学,KHẢO CỔ HỌC,khảo cổ học,
参考書,THAM KHẢO THƯ,sách tham khảo,
死ぬ,TỬ,chết,
死,TỬ,sự chết,
死体,TỬ THỂ,tử thi,
必死,TẤT TỬ,điên cuồng,
死亡,TỬ VONG,sự chết,
安楽死,"AN NHẠC,LẠC TỬ",chết không đau đớn,
死者,TỬ GIẢ,chết,
死後,TỬ HẬU,sau cái chết,
始まる,THỦY,bắt đầu,
始める,THỦY,bắt đầu,
開始する,KHAI THỦY,bắt đầu,
始終,THỦY CHUNG,từ đầu đến cuối,
